6:223,6:214,6:205,6:196,6:187,6:178,6:166,6:154,6:142,6:130,6:118,6:106,6:91,6:76,6:61,6:46,6:31,6:16,5:457,5:439,5:421,5:403,5:385,5:367,5:346,5:325,5:304,5:283,5:262,5:241,5:217,5:193,5:169,5:145,5:121,5:97,5:70,5:43,5:19,1:510,1:115,1:76,1:37,2:466,2:427,2:388,2:349,2:310,2:271,2:232,2:193,2:154,2:115,2:76,2:37,3:463,3:424,3:385,3:346,3:307,3:268,3:229,3:190,3:151,3:112,3:73,3:34,4:364,4:328,4:292,4:256,4:220,4:184,4:148,4:112,4:76,4:40
6:220,6:211,6:202,6:193,6:184,6:175,6:163,6:151,6:139,6:127,6:115,6:103,6:88,6:73,6:58,6:43,6:28,6:13,5:454,5:436,5:418,5:400,5:382,5:364,5:343,5:322,5:301,5:280,5:259,5:238,5:214,5:190,5:166,5:142,5:118,5:94,5:67,5:40,5:16,1:151,1:112,1:73,1:34,2:463,2:424,2:385,2:346,2:307,2:268,2:229,2:190,2:151,2:112,2:73,2:34,3:460,3:421,3:382,3:343,3:304,3:265,3:226,3:187,3:148,3:109,3:70,3:31,4:361,4:325,4:289,4:253,4:217,4:181,4:145,4:109,4:73,4:37
6:217,6:208,6:199,6:190,6:181,6:172,6:160,6:148,6:136,6:124,6:112,6:100,6:85,6:70,6:55,6:40,6:25,6:10,5:451,5:433,5:415,5:397,5:379,5:361,5:340,5:319,5:298,5:277,5:256,5:235,5:211,5:187,5:163,5:139,5:115,5:91,5:64,5:37,5:13,1:148,1:109,1:70,1:31,2:460,2:421,2:382,2:343,2:304,2:265,2:226,2:187,2:148,2:109,2:70,2:31,3:457,3:418,3:379,3:340,3:301,3:262,3:223,3:184,3:145,3:106,3:67,3:28,4:358,4:322,4:286,4:250,4:214,4:178,4:142,4:106,4:70,4:34
6:500,6:500,6:500,6:500,6:500,6:169,6:157,6:145,6:133,6:121,6:109,6:97,6:82,6:67,6:52,6:37,6:22,6:7,5:448,5:430,5:412,5:394,5:376,5:358,5:337,5:316,5:295,5:274,5:253,5:232,5:208,5:184,5:160,5:136,5:112,5:88,5:61,5:34,5:10,1:145,1:106,1:67,1:28,2:457,2:418,2:379,2:340,2:301,2:262,2:223,2:184,2:145,2:106,2:67,2:28,3:454,3:415,3:376,3:337,3:298,3:259,3:220,3:181,3:142,3:103,3:64,3:25,4:355,4:319,4:283,4:247,4:211,4:175,4:139,4:103,4:67,4:31
6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:94,6:79,6:64,6:49,6:34,6:19,6:4,5:445,5:427,5:409,5:391,5:373,5:355,5:334,5:313,5:292,5:271,5:250,5:229,5:205,5:181,5:157,5:133,5:109,5:85,5:58,5:31,5:7,1:142,1:103,1:64,1:25,2:454,2:415,2:376,2:337,2:298,2:259,2:220,2:181,2:142,2:103,2:64,2:25,3:451,3:412,3:373,3:334,3:295,3:256,3:217,3:178,3:139,3:100,3:61,3:22,4:352,4:316,4:280,4:244,4:208,4:172,4:136,4:100,4:64,4:28
6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:1,5:442,5:424,5:406,5:388,5:370,5:352,5:331,5:310,5:289,5:268,5:247,5:226,5:202,5:178,5:154,5:130,5:106,5:82,5:55,5:28,5:500,1:139,1:100,1:61,1:22,2:451,2:412,2:373,2:334,2:295,2:256,2:217,2:178,2:139,2:100,2:61,2:22,3:448,3:409,3:370,3:331,3:292,3:253,3:214,3:175,3:136,3:97,3:58,3:19,4:349,4:313,4:277,4:241,4:205,4:169,4:133,4:97,4:61,4:25
6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,5:500,5:500,5:500,5:500,5:500,5:349,5:328,5:307,5:286,5:265,5:244,5:223,5:199,5:175,5:151,5:127,5:103,5:79,5:52,5:25,5:500,1:136,1:97,1:58,1:19,2:448,2:409,2:370,2:331,2:292,2:253,2:214,2:175,2:136,2:97,2:58,2:19,3:445,3:406,3:367,3:328,3:289,3:250,3:211,3:172,3:133,3:94,3:55,3:16,4:346,4:310,4:274,4:238,4:202,4:166,4:130,4:94,4:58,4:22
6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:220,5:196,5:172,5:148,5:124,5:100,5:76,5:49,5:22,5:500,1:133,1:94,1:55,1:16,2:445,2:406,2:367,2:328,2:289,2:250,2:211,2:172,2:133,2:94,2:55,2:16,3:442,3:403,3:364,3:325,3:286,3:247,3:208,3:169,3:130,3:91,3:52,3:13,4:343,4:307,4:271,4:235,4:199,4:163,4:127,4:91,4:55,4:19
6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,6:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:500,5:73,5:46,5:500,5:500,1:130,1:91,1:52,1:13,2:442,2:403,2:364,2:325,2:286,2:247,2:208,2:169,2:130,2:91,2:52,2:13,3:439,3:400,3:361,3:322,3:283,3:244,3:205,3:166,3:127,3:88,3:49,3:10,4:340,4:304,4:268,4:232,4:196,4:160,4:124,4:88,4:52,4:16
6:500,6:501,6:502,6:503,6:504,6:505,6:506,6:507,6:508,6:509,6:510,6:511,6:512,6:513,6:514,6:515,6:516,6:517,6:518,6:519,6:520,6:521,6:522,6:523,6:524,6:525,6:526,6:527,6:528,6:529,6:530,6:531,6:532,6:533,6:534,6:535,6:536,6:537,6:500,1:127,1:88,1:49,1:10,2:439,2:400,2:361,2:322,2:283,2:244,2:205,2:166,2:127,2:88,2:49,2:10,3:436,3:397,3:358,3:319,3:280,3:241,3:202,3:163,3:124,3:85,3:46,3:7,4:337,4:301,4:265,4:229,4:193,4:157,4:121,4:85,4:49,4:13
